n,val_bytes,mode,threads,phase,count,takes_ms,avg_us,p50_us,p90_us,p99_us,ops
3,4096,baseline,1024,LOAD,5000,100,30603,25791,58015,78335,40403.3,
3,4096,baseline,1024,RUN,157156,10000,64362,64223,77759,190975,15784.1,
3,4096,metronome,1024,LOAD,5000,100,29447,21887,60831,68991,41573.7,
3,4096,metronome,1024,RUN,200000,9400,47844,45407,74687,146687,21184.2,
3,4096,baseline,2048,LOAD,5000,100,56984,36767,100223,111679,52343.7,
3,4096,baseline,2048,RUN,157534,9900,128518,128575,152959,298751,15832.8,
3,4096,metronome,2048,LOAD,5000,100,59805,35967,112447,129279,49703.6,
3,4096,metronome,2048,RUN,200000,9100,92810,81471,140159,221951,22012.2,
3,4096,baseline,4096,LOAD,5000,100,133081,145151,177279,190079,54231.5,
3,4096,baseline,4096,RUN,157541,9900,255105,257791,369151,497663,15919.5,
3,4096,metronome,4096,LOAD,5000,100,151571,165631,208127,223103,55170.0,
3,4096,metronome,4096,RUN,200000,9000,181537,171135,279295,404223,22259.7,
3,16384,baseline,512,LOAD,2000,200,58177,54879,80447,99583,9404.7,
3,16384,baseline,512,RUN,37365,10000,135973,130303,218879,333055,3755.2,
3,16384,metronome,512,LOAD,2000,200,41629,39039,52863,69375,11676.9,
3,16384,metronome,512,RUN,50599,10000,100048,87999,160895,305663,5081.5,
3,16384,baseline,1024,LOAD,2000,200,96699,83071,147967,161407,11677.3,
3,16384,baseline,1024,RUN,37698,9900,267202,260479,449023,683007,3793.6,
3,16384,metronome,1024,LOAD,2000,100,76198,73279,117375,143103,14935.7,
3,16384,metronome,1024,RUN,49185,10000,204367,169343,343551,663039,4934.5,
3,16384,baseline,2048,LOAD,
3,16384,baseline,2048,RUN,38155,9900,520980,520959,771071,953855,3855.1,
3,16384,metronome,2048,LOAD,
3,16384,metronome,2048,RUN,52774,9900,376741,349183,557567,773119,5331.1,
