n,val_bytes,mode,threads,phase,count,takes_ms,avg_us,p50_us,p90_us,p99_us,ops
5,4096,baseline,16,LOAD,2000,800,6751,6631,6887,7091,2412.3,
5,4096,baseline,16,RUN,23862,10000,6655,6663,6939,7391,2390.9,
5,4096,metronome,16,LOAD,2000,800,6662,6603,6835,7019,2445.7,
5,4096,metronome,16,RUN,23959,10000,6627,6655,6899,7311,2400.5,
5,4096,baseline,32,LOAD,2000,500,7659,7391,7779,25423,4317.5,
5,4096,baseline,32,RUN,42458,10000,7478,7475,7819,8399,4254.0,
5,4096,metronome,32,LOAD,2000,400,7394,7187,7719,24223,4460.1,
5,4096,metronome,32,RUN,43997,10000,7217,7247,7663,8055,4408.4,
5,4096,baseline,64,LOAD,2000,300,9233,8623,9239,29183,7327.4,
5,4096,baseline,64,RUN,50000,7000,8935,8903,9319,10047,7127.5,
5,4096,metronome,64,LOAD,2000,300,9027,8423,8967,27487,7471.4,
5,4096,metronome,64,RUN,50000,6800,8664,8647,9167,10495,7342.1,
5,4096,baseline,128,LOAD,2000,200,11650,10383,12071,30079,11755.5,
5,4096,baseline,128,RUN,50000,4400,11205,11087,11775,13191,11396.4,
5,4096,metronome,128,LOAD,2000,200,11087,9919,12071,30319,12840.7,
5,4096,metronome,128,RUN,50000,4400,10975,10807,11471,12423,11338.5,
5,4096,baseline,256,LOAD,2000,100,16128,13431,34783,38367,18324.8,
5,4096,baseline,256,RUN,50000,2700,13603,13303,14351,22095,18714.4,
5,4096,metronome,256,LOAD,2000,100,15869,12831,35903,38655,19073.8,
5,4096,metronome,256,RUN,50000,2600,13127,12855,14183,19359,19385.6,
7,4096,baseline,16,LOAD,2000,800,6798,6675,6955,7763,2395.9,
7,4096,baseline,16,RUN,23542,10000,6746,6739,6967,7471,2358.8,
7,4096,metronome,16,LOAD,2000,800,6630,6547,6767,6987,2456.5,
7,4096,metronome,16,RUN,24291,10000,6536,6563,6807,7059,2433.6,
7,4096,baseline,32,LOAD,2000,500,7658,7411,7799,24767,4305.1,
7,4096,baseline,32,RUN,42213,10000,7523,7515,7871,8535,4229.8,
7,4096,metronome,32,LOAD,2000,500,7439,7239,7587,23999,4429.5,
7,4096,metronome,32,RUN,43841,10000,7243,7279,7635,8027,4392.8,
7,4096,baseline,64,LOAD,2000,300,9234,8751,9183,26895,7265.6,
7,4096,baseline,64,RUN,50000,7000,8958,8911,9311,10487,7106.8,
7,4096,metronome,64,LOAD,2000,300,9200,8567,9295,28735,7360.1,
7,4096,metronome,64,RUN,50000,6900,8734,8727,9247,10623,7283.3,
7,4096,baseline,128,LOAD,2000,200,11839,10487,11223,33983,11988.5,
7,4096,baseline,128,RUN,50000,4400,11158,11159,11695,12919,11430.3,
7,4096,metronome,128,LOAD,2000,200,11671,10647,11199,31439,11991.1,
7,4096,metronome,128,RUN,50000,4400,10830,10583,11391,13343,11462.6,
7,4096,baseline,256,LOAD,2000,100,16717,14023,38175,40863,17992.1,
7,4096,baseline,256,RUN,50000,2700,13604,13255,14487,20415,18701.1,
7,4096,metronome,256,LOAD,2000,100,16182,12759,36831,39967,18625.0,
7,4096,metronome,256,RUN,50000,2700,13127,12591,14095,19583,18604.2,
5,4096,baseline,8192,LOAD,
5,4096,baseline,8192,RUN,157759,9800,503859,516095,675327,793087,16057.8,
5,4096,metronome,8192,LOAD,
5,4096,metronome,8192,RUN,200000,8900,354028,338175,509695,598527,22480.8,
5,4096,baseline,16384,LOAD,
5,4096,baseline,16384,RUN,154776,9600,993902,1061887,1305599,1790975,16105.6,
5,4096,metronome,16384,LOAD,
5,4096,metronome,16384,RUN,200000,8800,664070,705535,933887,1705983,22599.9,
5,4096,baseline,32768,LOAD,
5,4096,baseline,32768,RUN,150014,9400,1904143,2250751,2383871,3327999,16041.0,
5,4096,metronome,32768,LOAD,
5,4096,metronome,32768,RUN,200000,8700,1232256,1332223,1840127,2785279,23113.0,
5,4096,baseline,65536,LOAD,
5,4096,baseline,65536,RUN,151356,9700,3149192,3960831,4505599,4624383,15525.0,
5,4096,metronome,65536,LOAD,
5,4096,metronome,65536,RUN,198460,8600,2344854,2428927,4102143,5066751,23153.1,
7,4096,baseline,8192,LOAD,
7,4096,baseline,8192,RUN,157874,9800,504023,516863,681983,792063,16086.1,
7,4096,metronome,8192,LOAD,
7,4096,metronome,8192,RUN,200000,8700,352151,332799,511231,590335,22874.7,
7,4096,baseline,16384,LOAD,
7,4096,baseline,16384,RUN,153743,9500,1004500,1055743,1232895,1323007,16159.3,
7,4096,metronome,16384,LOAD,
7,4096,metronome,16384,RUN,200000,8800,685630,686079,911359,1060863,22698.3,
7,4096,baseline,32768,LOAD,
7,4096,baseline,32768,RUN,147955,9100,1929465,2244607,2367487,3547135,16172.5,
7,4096,metronome,32768,LOAD,
7,4096,metronome,32768,RUN,200000,8700,1257449,1447935,1544191,2740223,22880.7,
7,4096,baseline,65536,LOAD,
7,4096,baseline,65536,RUN,145438,9000,3070964,3727359,4894719,5636095,16153.0,
7,4096,metronome,65536,LOAD,
7,4096,metronome,65536,RUN,198455,8600,2332265,2410495,4005887,4714495,23196.8,
