n,val_bytes,mode,threads,phase,count,takes_ms,avg_us,p50_us,p90_us,p99_us,ops
5,1048576,baseline,2,LOAD,200,3000,22869,12007,28079,165119,67.0,
5,1048576,baseline,2,RUN,464,10000,35569,25423,54367,198399,46.6,
5,1048576,metronome,2,LOAD,200,2600,18166,11935,38751,62591,77.2,
5,1048576,metronome,2,RUN,542,10000,29199,21119,52735,89471,54.5,
5,1048576,baseline,4,LOAD,200,3000,52532,27343,65471,310527,67.4,
5,1048576,baseline,4,RUN,464,10000,77175,57983,131199,314111,46.6,
5,1048576,metronome,4,LOAD,200,1900,30686,22927,63039,83711,103.9,
5,1048576,metronome,4,RUN,627,9900,55541,44319,100607,185087,63.2,
5,1048576,baseline,8,LOAD,200,3000,111004,61055,151039,591871,67.6,
5,1048576,baseline,8,RUN,462,9900,161885,126143,284415,541183,46.4,
5,1048576,metronome,8,LOAD,200,1900,65708,49919,129215,171647,103.3,
5,1048576,metronome,8,RUN,702,9900,104163,105407,156159,183935,70.7,
5,1048576,baseline,16,LOAD,200,3000,220684,123071,540159,891391,67.5,
5,1048576,baseline,16,RUN,458,9900,327236,255359,568319,842751,46.0,
5,1048576,metronome,16,LOAD,200,1600,113884,95615,212735,265983,121.5,
5,1048576,metronome,16,RUN,688,9900,218561,217727,309247,384767,69.3,
5,1048576,baseline,32,LOAD,200,2900,430702,272895,1073151,1266687,69.5,
5,1048576,baseline,32,RUN,462,9900,635363,519423,1090559,1178623,46.5,
5,1048576,metronome,32,LOAD,200,1700,233322,243583,333567,457215,119.1,
5,1048576,metronome,32,RUN,669,9900,457794,472831,546815,653823,67.9,
5,65536,baseline,16,LOAD,500,400,12764,11511,15999,33663,1235.5,
5,65536,baseline,16,RUN,5000,4600,13898,12863,16087,32799,1097.5,
5,65536,metronome,16,LOAD,500,400,12687,12031,13671,29983,1258.6,
5,65536,metronome,16,RUN,5000,4300,13035,12383,16087,42879,1154.4,
5,65536,baseline,32,LOAD,500,200,14928,13223,16295,42783,2178.1,
5,65536,baseline,32,RUN,5000,4600,28868,31231,38047,110207,1079.9,
5,65536,metronome,32,LOAD,500,200,13314,11343,17231,37983,2401.6,
5,65536,metronome,32,RUN,5000,3400,20715,17231,32047,64831,1476.0,
5,65536,baseline,64,LOAD,500,200,29400,26767,41407,61407,2202.4,
5,65536,baseline,64,RUN,5000,4600,58450,63775,70975,234495,1078.7,
5,65536,metronome,64,LOAD,500,200,23538,20543,49631,54047,2800.5,
5,65536,metronome,64,RUN,5000,3100,38196,38591,65215,109119,1620.9,
5,65536,baseline,128,LOAD,500,200,48346,47519,72959,79743,2713.9,
5,65536,baseline,128,RUN,5000,4600,117362,128959,136063,312319,1079.5,
5,65536,metronome,128,LOAD,500,200,45894,37983,89215,94591,2929.4,
5,65536,metronome,128,RUN,5000,2900,71847,64895,129407,159487,1720.2,
5,65536,baseline,256,LOAD,500,200,81420,78143,109631,117887,2925.0,
5,65536,baseline,256,RUN,5000,4600,231756,258815,356863,442879,1081.4,
5,65536,metronome,256,LOAD,500,200,85590,80575,140031,162687,3140.9,
5,65536,metronome,256,RUN,5000,2900,145195,142975,264959,294655,1720.1,
5,16384,baseline,256,LOAD,2000,200,30380,27343,49183,65791,8966.6,
5,16384,baseline,256,RUN,37703,10000,67381,64735,71999,285439,3779.4,
5,16384,metronome,256,LOAD,2000,200,24569,20575,43679,60639,11422.2,
5,16384,metronome,256,RUN,49988,10000,50671,41791,84607,133887,5018.3,
5,16384,baseline,1024,LOAD,2000,200,91693,80959,138239,168959,11541.5,
5,16384,baseline,1024,RUN,37462,9900,269032,260095,468223,689663,3768.1,
