n,val_bytes,mode,threads,phase,count,takes_ms,avg_us,p50_us,p90_us,p99_us,ops
3,1048576,baseline,1,LOAD,200,3700,11666,11543,12743,15407,53.8,
3,1048576,baseline,1,RUN,400,10000,17800,17263,19359,37023,40.2,
3,1048576,metronome,1,LOAD,200,3600,10744,10655,11783,12879,55.9,
3,1048576,metronome,1,RUN,421,10000,16473,16375,18447,21503,42.3,
3,1048576,baseline,2,LOAD,200,3000,22871,13999,28607,118335,66.9,
3,1048576,baseline,2,RUN,457,10000,35697,25407,60191,174463,45.9,
3,1048576,metronome,2,LOAD,200,2500,18689,11119,41855,59807,78.5,
3,1048576,metronome,2,RUN,583,10000,26500,19551,51807,73471,58.6,
3,1048576,baseline,4,LOAD,200,3000,52267,22719,63807,267519,67.7,
3,1048576,baseline,4,RUN,456,10000,78751,57791,159359,293631,45.8,
3,1048576,metronome,4,LOAD,200,2100,33938,22847,72767,114175,94.8,
3,1048576,metronome,4,RUN,700,9900,48819,41343,84607,111295,70.4,
3,1048576,baseline,8,LOAD,200,3000,109532,78015,139775,627199,67.7,
3,1048576,baseline,8,RUN,466,10000,159969,126271,267775,509951,46.8,
3,1048576,metronome,8,LOAD,200,1700,60221,35935,120575,160511,115.3,
3,1048576,metronome,8,RUN,681,9900,107695,111295,154751,195455,68.5,
3,1048576,baseline,16,LOAD,200,2900,222152,115711,472575,1009151,68.4,
3,1048576,baseline,16,RUN,465,9900,319531,253823,582143,824319,46.7,
3,1048576,metronome,16,LOAD,200,1700,117028,77823,233983,267263,120.9,
3,1048576,metronome,16,RUN,698,9900,215443,231807,295679,357631,70.4,
3,1048576,baseline,32,LOAD,200,2800,428227,286975,1188863,1265663,70.4,
3,1048576,baseline,32,RUN,462,9900,650460,520703,1084415,1227775,46.5,
3,1048576,metronome,32,LOAD,200,1700,250057,274943,422911,463615,117.1,
3,1048576,metronome,32,RUN,667,9900,455007,480767,562687,615935,67.2,
3,1048576,baseline,64,LOAD,200,2900,713980,365055,1734655,1800191,69.3,
3,1048576,baseline,64,RUN,470,9900,1229862,1144831,1659903,1871871,47.4,
3,1048576,metronome,64,LOAD,200,2000,547268,570367,820735,822271,102.5,
3,1048576,metronome,64,RUN,649,9900,936616,941567,1141759,1335295,65.5,
3,1048576,baseline,128,LOAD,200,2300,810933,961023,1267711,1801215,86.6,
3,1048576,baseline,128,RUN,433,9800,2469101,2625535,3053567,3164159,44.2,
3,1048576,metronome,128,LOAD,200,2100,938934,927231,1668095,1713151,96.4,
3,1048576,metronome,128,RUN,560,9900,1949060,2002943,2375679,2412543,56.7,
