n,val_bytes,mode,threads,phase,count,takes_ms,avg_us,p50_us,p90_us,p99_us,ops
3,4096,baseline,16,LOAD,2000,700,5960,6555,6863,7591,2741.4,
3,4096,baseline,16,RUN,20000,8500,6770,6775,7055,7363,2349.8,
3,4096,metronome,16,LOAD,2000,800,6742,6647,6923,7327,2417.8,
3,4096,metronome,16,RUN,20000,8500,6740,6747,7123,7567,2360.8,
3,4096,baseline,32,LOAD,2000,500,7672,7387,7695,28175,4328.5,
3,4096,baseline,32,RUN,20000,4700,7510,7479,7907,8495,4244.5,
3,4096,metronome,32,LOAD,2000,500,7530,7335,7715,26191,4398.8,
3,4096,metronome,32,RUN,20000,4600,7355,7399,7775,8127,4333.8,
3,4096,baseline,64,LOAD,2000,300,9201,8679,9239,28847,7339.3,
3,4096,baseline,64,RUN,20000,2800,8988,8927,9351,10079,7112.8,
3,4096,metronome,64,LOAD,2000,300,9332,8719,9663,29167,7224.2,
3,4096,metronome,64,RUN,20000,2800,9024,9023,9503,10183,7081.1,
3,4096,baseline,128,LOAD,2000,200,12419,11319,12615,33247,11162.5,
3,4096,baseline,128,RUN,20000,1800,11787,11639,12351,17039,10854.2,
3,4096,metronome,128,LOAD,2000,200,11899,10703,12487,32591,11806.2,
3,4096,metronome,128,RUN,20000,1800,11373,11271,12207,15287,11254.0,
3,4096,baseline,256,LOAD,2000,100,17182,14679,38527,41215,17638.9,
3,4096,baseline,256,RUN,20000,1100,13989,13471,15151,35711,18321.6,
3,4096,metronome,256,LOAD,2000,100,16378,13071,38751,43615,18923.0,
3,4096,metronome,256,RUN,20000,1300,14909,13023,15495,38207,15824.6,
3,4096,baseline,512,LOAD,2000,100,26730,17951,60383,66495,26715.8,
3,4096,baseline,512,RUN,20000,800,18182,15991,22367,54303,24937.1,
3,4096,metronome,512,LOAD,2000,100,22570,17919,43487,46527,28966.7,
3,4096,metronome,512,RUN,20000,700,17476,15927,21903,49375,29360.6,
