n,val_bytes,mode,threads,phase,count,takes_ms,avg_us,p50_us,p90_us,p99_us,ops
3,4096,baseline,16,LOAD,2000,700,5960,6555,6863,7591,2741.4,
3,4096,baseline,16,RUN,20000,8500,6770,6775,7055,7363,2349.8,
3,4096,metronome,16,LOAD,2000,800,6742,6647,6923,7327,2417.8,
3,4096,metronome,16,RUN,20000,8500,6740,6747,7123,7567,2360.8,
3,4096,baseline,32,LOAD,2000,500,7672,7387,7695,28175,4328.5,
3,4096,baseline,32,RUN,20000,4700,7510,7479,7907,8495,4244.5,
3,4096,metronome,32,LOAD,2000,500,7530,7335,7715,26191,4398.8,
3,4096,metronome,32,RUN,20000,4600,7355,7399,7775,8127,4333.8,
3,4096,baseline,64,LOAD,2000,300,9201,8679,9239,28847,7339.3,
3,4096,baseline,64,RUN,20000,2800,8988,8927,9351,10079,7112.8,
3,4096,metronome,64,LOAD,2000,300,9332,8719,9663,29167,7224.2,
3,4096,metronome,64,RUN,20000,2800,9024,9023,9503,10183,7081.1,
3,4096,baseline,128,LOAD,2000,200,12419,11319,12615,33247,11162.5,
3,4096,baseline,128,RUN,20000,1800,11787,11639,12351,17039,10854.2,
3,4096,metronome,128,LOAD,2000,200,11899,10703,12487,32591,11806.2,
3,4096,metronome,128,RUN,20000,1800,11373,11271,12207,15287,11254.0,
3,4096,baseline,256,LOAD,2000,100,17182,14679,38527,41215,17638.9,
3,4096,baseline,256,RUN,20000,1100,13989,13471,15151,35711,18321.6,
3,4096,metronome,256,LOAD,2000,100,16378,13071,38751,43615,18923.0,
3,4096,metronome,256,RUN,20000,1300,14909,13023,15495,38207,15824.6,
3,4096,baseline,512,LOAD,2000,100,26730,17951,60383,66495,26715.8,
3,4096,baseline,512,RUN,20000,800,18182,15991,22367,54303,24937.1,
3,4096,metronome,512,LOAD,2000,100,22570,17919,43487,46527,28966.7,
3,4096,metronome,512,RUN,20000,700,17476,15927,21903,49375,29360.6,
3,16384,baseline,8,LOAD,1000,900,7507,7435,7819,8151,1071.2,
3,16384,baseline,8,RUN,10000,9500,7458,7443,7879,8447,1052.5,
3,16384,metronome,8,LOAD,1000,900,7333,7315,7683,8095,1098.1,
3,16384,metronome,8,RUN,10000,9200,7208,7271,7671,8171,1088.5,
3,16384,baseline,16,LOAD,1000,600,8973,8759,9247,23215,1801.7,
3,16384,baseline,16,RUN,10000,5600,8863,8807,9303,10519,1772.8,
3,16384,metronome,16,LOAD,1000,600,8981,8751,9303,25791,1809.0,
3,16384,metronome,16,RUN,10000,5500,8608,8639,9175,10039,1824.7,
3,16384,baseline,32,LOAD,1000,300,11247,10791,11271,29871,2930.2,
3,16384,baseline,32,RUN,10000,3500,11045,10943,11575,14079,2858.4,
3,16384,metronome,32,LOAD,1000,300,11049,10687,11055,29823,2983.6,
3,16384,metronome,32,RUN,10000,3400,10668,10663,11335,13047,2948.8,
3,16384,baseline,64,LOAD,1000,200,13770,11847,16223,37951,5013.6,
3,16384,baseline,64,RUN,10000,2100,13467,13287,14487,24719,4679.0,
3,16384,metronome,64,LOAD,1000,200,14206,12879,15759,34975,4750.8,
3,16384,metronome,64,RUN,10000,2200,13804,12623,15511,46879,4568.9,
3,16384,baseline,128,LOAD,1000,100,17220,14231,34079,40735,8389.7,
3,16384,baseline,128,RUN,10000,1700,21941,15047,34655,102719,5753.1,
3,16384,metronome,128,LOAD,1000,100,16756,13439,38239,44255,9085.5,
3,16384,metronome,128,RUN,10000,1500,19040,15711,25567,63711,6590.6,
3,16384,baseline,256,LOAD,1000,100,33311,28511,53407,60895,8544.3,
3,16384,baseline,256,RUN,10000,1700,43402,29887,65247,163455,5809.6,
3,16384,metronome,256,LOAD,1000,100,29409,29551,44767,50815,8438.0,
3,16384,metronome,256,RUN,10000,1300,32837,25039,49983,114623,7638.2,
3,65536,baseline,2,LOAD,500,1900,7203,7167,7523,7851,263.7,
3,65536,baseline,2,RUN,2652,10000,7057,7015,7415,8287,265.8,
3,65536,metronome,2,LOAD,500,1900,7200,7231,7563,7919,263.6,
3,65536,metronome,2,RUN,2704,10000,6918,6955,7395,7955,271.0,
3,65536,baseline,4,LOAD,500,1100,8590,8479,8927,9551,450.6,
3,65536,baseline,4,RUN,4421,10000,8533,8479,9031,10991,443.1,
3,65536,metronome,4,LOAD,500,1100,8426,8391,8751,9271,457.9,
3,65536,metronome,4,RUN,4604,10000,8163,8223,8711,9447,461.4,
3,65536,baseline,8,LOAD,500,700,10238,9935,10567,28847,764.0,
3,65536,baseline,8,RUN,5000,6900,10486,10415,11183,13847,723.5,
3,65536,metronome,8,LOAD,500,600,10155,9895,10671,28319,774.6,
3,65536,metronome,8,RUN,5000,6900,10428,10415,11239,12959,728.8,
3,65536,baseline,16,LOAD,500,400,13421,12943,13695,31647,1190.0,
3,65536,baseline,16,RUN,5000,4500,13806,13031,16415,26271,1103.2,
3,65536,metronome,16,LOAD,500,400,12455,12615,13615,27327,1253.6,
3,65536,metronome,16,RUN,5000,4500,13715,12447,16247,38015,1108.2,
3,65536,baseline,32,LOAD,500,200,15576,14015,19647,40063,2107.1,
3,65536,baseline,32,RUN,5000,4600,28599,31359,32671,118527,1088.3,
3,65536,metronome,32,LOAD,500,200,14307,12983,16895,37087,2237.7,
3,65536,metronome,32,RUN,5000,3400,21199,16015,33567,67007,1452.0,
3,65536,baseline,64,LOAD,500,200,29734,28031,37439,58175,2155.7,
3,65536,baseline,64,RUN,5000,4600,58437,63775,71167,223487,1075.5,
3,65536,metronome,64,LOAD,500,200,23338,19807,44095,57567,2960.4,
3,65536,metronome,64,RUN,5000,2900,36332,37375,60159,97855,1695.5,
3,65536,baseline,128,LOAD,500,200,51980,51551,78143,84735,2501.6,
3,65536,baseline,128,RUN,5000,4700,117295,128895,135039,312319,1072.6,
3,65536,metronome,128,LOAD,500,200,44653,35423,87231,94335,3024.6,
3,65536,metronome,128,RUN,5000,3300,80232,72063,159999,269823,1529.6,
