n,val_bytes,mode,phase,count,takes_ms,avg_us,p50_us,p90_us,p99_us,ops
3,256,baseline,LOAD,10000,300,7292,6863,7527,27839,28946.3,
3,256,baseline,RUN,100000,3600,7207,7127,7475,9727,27780.7,
3,256,metronome,LOAD,10000,300,7297,6851,7279,28895,29269.8,
3,256,metronome,RUN,100000,3500,7060,6999,7359,9519,28355.2,
3,1024,baseline,LOAD,10000,500,9505,9079,9567,33023,22126.4,
3,1024,baseline,RUN,100000,4400,8776,8687,9223,9975,22797.5,
3,1024,metronome,LOAD,10000,400,9085,8711,9159,31999,23170.0,
3,1024,metronome,RUN,100000,4300,8627,8559,9127,10663,23179.2,
3,4096,baseline,LOAD,10000,600,13185,12711,13623,38943,15645.9,
3,4096,baseline,RUN,100000,7100,13407,12127,13543,38815,14049.9,
3,4096,metronome,LOAD,10000,500,10211,9463,12375,37535,20336.8,
3,4096,metronome,RUN,100000,6700,12802,11783,15119,41567,15018.5,
5,256,baseline,LOAD,10000,300,7187,6783,7139,26767,29556.5,
5,256,baseline,RUN,100000,3500,7101,7003,7483,8831,28215.4,
5,256,metronome,LOAD,10000,300,7132,6663,7075,28639,29853.5,
5,256,metronome,RUN,100000,3400,6864,6771,7223,9911,29120.8,
5,1024,baseline,LOAD,10000,400,9034,8679,9151,31487,23361.6,
5,1024,baseline,RUN,100000,4500,8909,8831,9351,10279,22432.5,
5,1024,metronome,LOAD,10000,400,8812,8447,8879,30287,23850.5,
5,1024,metronome,RUN,100000,4300,8598,8519,9095,11967,23240.0,
5,4096,baseline,LOAD,10000,600,13095,12599,13527,36927,15756.8,
5,4096,baseline,RUN,100000,6800,12848,12335,14015,25087,14800.0,
5,4096,metronome,LOAD,10000,600,13202,12727,14023,34463,15510.2,
5,4096,metronome,RUN,100000,6700,12738,12175,14335,24687,14906.9,
7,256,baseline,LOAD,10000,300,7171,6759,7079,27759,29647.3,
7,256,baseline,RUN,100000,3500,6985,6895,7331,9791,28664.6,
7,256,metronome,LOAD,10000,300,7302,6811,7479,28175,28945.3,
7,256,metronome,RUN,100000,3500,6915,6823,7307,8039,28974.0,
7,1024,baseline,LOAD,10000,400,8632,8231,8655,29119,24300.2,
7,1024,baseline,RUN,100000,4300,8672,8583,9207,12487,22992.3,
7,1024,metronome,LOAD,10000,400,8900,8535,8919,30367,23650.3,
7,1024,metronome,RUN,100000,4400,8703,8639,9191,10311,22959.9,
7,4096,baseline,LOAD,10000,600,12635,12055,13159,39263,16357.7,
7,4096,baseline,RUN,100000,6900,12940,11943,13415,33439,14573.6,
7,4096,metronome,LOAD,10000,700,13226,12631,15447,34655,15314.0,
7,4096,metronome,RUN,100000,6700,12857,11903,15479,34143,14879.9,
