n,val_bytes,mode,phase,count,takes_ms,avg_us,p50_us,p90_us,p99_us,ops
3,256,baseline,LOAD,5000,300,1195,1138,1398,1794,17175.5,
3,256,baseline,RUN,10000,900,1787,1720,2139,2987,11242.6,
3,256,metronome,LOAD,5000,300,1194,1133,1417,1829,17227.6,
3,256,metronome,RUN,10000,900,1764,1724,2135,2739,11361.7,
3,4096,baseline,LOAD,5000,300,1258,1178,1475,2291,16099.3,
3,4096,baseline,RUN,10000,1000,1922,1847,2305,3387,10350.2,
3,4096,metronome,LOAD,5000,300,1213,1148,1439,2131,16726.6,
3,4096,metronome,RUN,10000,900,1791,1752,2127,2747,11084.0,
3,16384,baseline,LOAD,5000,400,1485,1334,1724,8199,13123.0,
3,16384,baseline,RUN,10000,1400,2700,2225,3287,8823,7204.8,
3,16384,metronome,LOAD,5000,400,1396,1319,1697,2223,13886.5,
3,16384,metronome,RUN,10000,1300,2518,2028,2693,18943,7653.9,
5,256,baseline,LOAD,5000,300,1267,1146,1423,7639,16186.2,
5,256,baseline,RUN,10000,900,1800,1720,2081,5123,11148.1,
5,256,metronome,LOAD,5000,300,1177,1133,1386,1728,17510.9,
5,256,metronome,RUN,10000,800,1689,1661,2020,2403,11886.6,
5,4096,baseline,LOAD,5000,300,1255,1192,1490,1797,16147.3,
5,4096,baseline,RUN,10000,900,1825,1787,2195,2783,10880.4,
5,4096,metronome,LOAD,5000,300,1208,1159,1421,1841,16737.5,
5,4096,metronome,RUN,10000,1000,1893,1741,2127,2765,10491.1,
5,16384,baseline,LOAD,5000,300,1283,936,1683,6771,15093.1,
5,16384,baseline,RUN,10000,1000,1984,1755,2679,5123,9647.8,
5,16384,metronome,LOAD,5000,300,1067,897,1443,5335,18021.9,
5,16384,metronome,RUN,10000,1000,1942,1735,2551,5431,9964.6,
7,256,baseline,LOAD,5000,300,1238,1128,1530,4499,16579.5,
7,256,baseline,RUN,10000,900,1890,1852,2275,2635,10621.7,
7,256,metronome,LOAD,5000,300,1192,1102,1446,2955,17383.8,
7,256,metronome,RUN,10000,1000,1959,1900,2367,2871,10254.5,
7,4096,baseline,LOAD,5000,300,1174,1107,1434,2549,17258.6,
7,4096,baseline,RUN,10000,1000,1994,1923,2373,4085,9975.7,
7,4096,metronome,LOAD,5000,300,1140,1078,1378,1816,17769.3,
7,4096,metronome,RUN,10000,1000,2018,1916,2375,4267,9836.9,
7,16384,baseline,LOAD,5000,500,1787,1342,3449,7375,10920.1,
7,16384,baseline,RUN,10000,1300,2594,2213,2919,12439,7515.1,
7,16384,metronome,LOAD,5000,300,1321,1247,1609,3495,14667.0,
7,16384,metronome,RUN,10000,1500,2977,2169,2855,12879,6559.2,
